@relation SourceStateVector

@attribute ANONYMOUS_CLASSDECLARATION numeric
@attribute ARRAY_ACCESS numeric
@attribute ARRAY_CREATION  numeric
@attribute ARRAY_INITIALIZER   numeric
@attribute ARRAY_TYPE numeric
@attribute ASSERT_STATEMENT numeric
@attribute ASSIGNMENT numeric
@attribute BLOCK numeric
@attribute BOOLEAN_LITERAL numeric
@attribute REAK_STATEMENT numeric

@attribute CAST_EXPRESSION numeric
@attribute CATCH_CLAUSE  numeric
@attribute CHARACTER_LITERAL numeric
@attribute CLASS_INSTANCE_CREATION numeric
@attribute COMPILATION_UNIT  numeric
@attribute CONDITIONAL_EXPRESSION numeric
@attribute CONSTRUCTOR_INVOCATION  numeric
@attribute CONTINUE_STATEMENT numeric
@attribute DO_STATEMENT numeric
@attribute EMPTY_STATEMENT  numeric

@attribute EXPRESSION_STATEMENT numeric
@attribute FIELD_ACCESS numeric
@attribute FIELD_DECLARATION numeric
@attribute FOR_STATEMENT  numeric
@attribute IF_STATEMENT numeric
@attribute IMPORT_DECLARATION numeric
@attribute INFIX_EXPRESSION numeric
@attribute INITIALIZER numeric
@attribute JAVADOC numeric
@attribute LABELED_STATEMENT numeric

@attribute METHOD_DECLARATION numeric
@attribute METHOD_INVOCATION numeric
@attribute NULL_LITERAL numeric
@attribute NUMBER_LITERAL numeric
@attribute PACKAGE_DECLARATION numeric
@attribute PARENTHESIZED_EXPRESSION numeric
@attribute POSTFIX_EXPRESSION numeric
@attribute PREFIX_EXPRESSION numeric
@attribute PRIMITIVE_TYPE numeric
@attribute QUALIFIED_NAME numeric

@attribute RETURN_STATEMENT numeric
@attribute SIMPLE_NAME numeric
@attribute SIMPLE_TYPE numeric
@attribute SINGLE_VARIABLE_DECLARATION numeric
@attribute STRING_LITERAL numeric
@attribute SUPER_CONSTRUCTOR_INVOCATION numeric
@attribute SUPER_FIELD_ACCESS numeric

@attribute SUPER_METHOD_INVOCATION numeric
@attribute SWITCH_CASE numeric
@attribute SWITCH_STATEMENT numeric

@attribute SYNCHRONIZED_STATEMENT numeric
@attribute THIS_EXPRESSION numeric
@attribute THROW_STATEMENT numeric
@attribute TRY_STATEMENT numeric
@attribute TYPE_DECLARATION  numeric
@attribute TYPE_DECLARATION_STATEMENT numeric
@attribute TYPE_LITERAL numeric
@attribute VARIABLE_DECLARATION_EXPRESSION numeric
@attribute VARIABLE_DECLARATION_FRAGMENT numeric
@attribute VARIABLE_DECLARATION_STATEMENT numeric

@attribute WHILE_STATEMENT numeric
@attribute INSTANCEOF_EXPRESSION numeric
@attribute LINE_COMMENT numeric
@attribute BLOCK_COMMENT numeric
@attribute TAG_ELEMENT numeric
@attribute TEXT_ELEMENT numeric
@attribute MEMBER_REF numeric
@attribute METHOD_REF numeric
@attribute METHOD_REF_PARAMETER numeric
@attribute ENHANCED_FOR_STATEMENT numeric

@attribute ENUM_DECLARATION numeric
@attribute ENUM_CONSTANT_DECLARATION numeric
@attribute TYPE_PARAMETER numeric
@attribute PARAMETERIZED_TYPE numeric
@attribute QUALIFIED_TYPE numeric
@attribute WILDCARD_TYPE numeric
@attribute NORMAL_ANNOTATION numeric
@attribute MARKER_ANNOTATION numeric
@attribute SINGLE_MEMBER_ANNOTATION numeric
@attribute MEMBER_VALUE_PAIR numeric

@attribute ANNOTATION_TYPE_DECLARATION numeric
@attribute ANNOTATION_TYPE_MEMBER_DECLARATION numeric
@attribute MODIFIER numeric
@attribute UNION_TYPE numeric

@attribute GENERATED {TRUE,FALSE}

@data
0,10,0,0,6,0,20,17,3,1,0,0,8,1,1,0,0,10,0,0,29,4,5,4,7,0,22,0,10,0,5,20,0,16,1,1,4,1,9,14,3,172,16,5,26,3,0,1,10,1,0,0,0,0,1,0,0,4,16,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,TRUE
0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,26,1,0,0,0,26,5,0,35,1,0,33,0,0,0,0,0,0,0,0,0,1,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,TRUE
0,30,12,0,17,0,94,64,11,5,1,4,33,9,1,0,5,0,0,0,112,0,17,1,31,0,94,0,4,0,31,44,5,111,1,19,7,17,91,56,35,624,27,43,3,0,0,0,26,2,0,0,5,4,1,0,0,0,31,11,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,0,TRUE
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,0,0,0,1,0,0,0,0,1,0,591,294,196,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,0,TRUE
0,50,6,2,16,0,171,141,59,70,1,7,0,83,1,37,1,0,0,25,290,12,17,12,63,19,80,1,16,8,47,248,31,220,1,48,15,62,52,224,49,1702,225,36,43,0,0,0,130,35,0,7,38,5,2,0,0,12,91,59,8,0,0,0,0,0,0,0,0,3,0,0,0,22,0,0,0,0,0,0,0,0,145,0,TRUE
0,54,10,2,25,0,183,150,78,47,2,5,0,81,1,25,1,1,1,23,274,2,25,22,73,9,89,1,20,12,61,226,21,226,1,35,26,46,90,108,67,1510,228,27,28,0,0,0,66,25,0,0,31,5,3,0,0,22,125,77,15,0,0,0,0,0,0,0,0,0,0,0,0,16,0,1,0,0,1,0,0,0,127,0,TRUE
0,46,5,1,13,0,194,115,45,55,26,6,7,73,1,32,1,0,0,20,306,3,14,15,53,4,162,1,0,7,33,310,48,247,1,45,23,71,66,94,23,1646,196,24,54,0,0,0,123,32,0,0,29,5,1,0,1,15,99,65,7,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,0,TRUE
0,53,9,2,22,0,221,172,123,60,10,1,0,43,1,25,0,0,1,21,279,5,32,23,121,6,99,1,2,15,72,211,26,168,1,33,27,48,117,97,97,1520,152,19,59,0,0,0,101,25,0,3,16,1,3,0,0,23,122,62,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,167,0,TRUE
0,34,2,7,11,0,111,67,2,114,0,9,2,3,1,3,1,2,5,0,196,0,18,3,141,3,270,0,11,1,23,172,23,744,1,92,19,11,79,49,81,809,30,42,36,0,0,0,150,9,0,0,3,9,1,0,0,0,40,22,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,TRUE
0,19,2,6,10,0,128,126,2,60,0,22,2,3,1,3,1,2,5,0,157,0,17,3,110,1,202,0,11,1,36,216,12,680,1,99,10,35,117,57,199,974,42,81,42,0,0,0,152,22,0,0,3,22,1,0,0,0,38,21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,0,TRUE
0,90,2,5,9,0,158,44,4,154,1,3,2,3,1,3,1,0,5,0,232,0,16,3,190,0,273,0,11,1,16,98,14,666,1,30,83,8,63,21,9,803,23,25,7,0,0,0,152,4,0,0,3,3,1,0,0,0,40,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,TRUE
0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,43,0,0,0,0,0,44,0,0,0,0,42,1,0,0,0,42,0,0,46,1,0,48,0,0,0,0,0,0,0,0,0,1,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,TRUE
0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,43,0,0,0,0,0,44,0,0,0,0,42,1,0,0,0,42,4,0,50,1,0,45,0,0,0,0,0,0,0,0,0,1,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,TRUE
0,30,12,0,17,0,95,72,11,5,1,4,33,13,1,2,8,0,0,0,116,0,18,1,31,0,97,0,34,0,39,47,7,118,1,18,7,17,109,84,36,742,43,67,3,0,0,0,26,2,0,0,5,4,1,0,0,0,32,11,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,TRUE
0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,42,0,0,0,0,0,43,0,0,0,0,41,1,0,0,0,41,0,0,45,1,0,47,0,0,0,0,0,0,0,0,0,1,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,TRUE
0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,29,0,0,0,0,0,30,0,0,0,0,28,1,0,0,0,28,4,0,36,1,0,61,0,0,0,0,0,0,0,0,0,1,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,TRUE
